id,No,Timecode In,Timecode Out,Timecode IN(milliseconds),Timecode Out(milliseconds),Subtitle
_K5qApskPdQ.en.v,1,00:00:00:00,00:00:08:05,"00:00:00,000","00:00:08,230",[Music]
_K5qApskPdQ.en.v,2,00:00:08:05,00:00:08:06,"00:00:08,230","00:00:08,240",[Music]
_K5qApskPdQ.en.v,3,00:00:08:06,00:00:10:03,"00:00:08,240","00:00:10,150",[Music] what<00:00:08.400><c> is</c><00:00:08.559><c> up</c><00:00:08.639><c> guys</c><00:00:08.960><c> zack</c><00:00:09.280><c> scott</c><00:00:09.679><c> here</c><00:00:09.920><c> playing</c>
_K5qApskPdQ.en.v,4,00:00:10:03,00:00:10:04,"00:00:10,150","00:00:10,160",what is up guys zack scott here playing
_K5qApskPdQ.en.v,5,00:00:10:04,00:00:11:18,"00:00:10,160","00:00:11,749",what is up guys zack scott here playing pokemon<00:00:10.800><c> unite</c><00:00:11.200><c> and</c><00:00:11.280><c> today</c><00:00:11.519><c> i'm</c><00:00:11.599><c> gonna</c><00:00:11.679><c> be</c>
_K5qApskPdQ.en.v,6,00:00:11:18,00:00:11:18,"00:00:11,749","00:00:11,759",pokemon unite and today i'm gonna be
_K5qApskPdQ.en.v,7,00:00:11:18,00:00:12:23,"00:00:11,759","00:00:12,950",pokemon unite and today i'm gonna be showcasing<00:00:12.320><c> mr</c>
_K5qApskPdQ.en.v,8,00:00:12:23,00:00:12:24,"00:00:12,950","00:00:12,960",showcasing mr
_K5qApskPdQ.en.v,9,00:00:12:24,00:00:15:10,"00:00:12,960","00:00:15,430",showcasing mr mime<00:00:13.599><c> he's</c><00:00:13.920><c> uh</c><00:00:14.240><c> kind</c><00:00:14.400><c> of</c><00:00:14.480><c> an</c><00:00:14.639><c> intermediate</c>
_K5qApskPdQ.en.v,10,00:00:15:10,00:00:15:11,"00:00:15,430","00:00:15,440",mime he's uh kind of an intermediate
_K5qApskPdQ.en.v,11,00:00:15:11,00:00:16:23,"00:00:15,440","00:00:16,950",mime he's uh kind of an intermediate difficulty<00:00:15.920><c> pokemon</c><00:00:16.400><c> who's</c><00:00:16.560><c> a</c><00:00:16.640><c> melee</c>
_K5qApskPdQ.en.v,12,00:00:16:23,00:00:16:24,"00:00:16,950","00:00:16,960",difficulty pokemon who's a melee
_K5qApskPdQ.en.v,13,00:00:16:24,00:00:18:07,"00:00:16,960","00:00:18,310",difficulty pokemon who's a melee supporter<00:00:17.600><c> class</c>
_K5qApskPdQ.en.v,14,00:00:18:07,00:00:18:08,"00:00:18,310","00:00:18,320",supporter class
